(103, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.20E-3, 3.15E-3, 1.95E-3, 1.22E-3, 7.72E-4, 4.91E-4, 3.11E-4, 1.93E-4, 1.14E-4, 5.86E-5])
(107, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.15E-3, 1.95E-3, 1.22E-3, 7.73E-4, 4.92E-4, 3.12E-4, 1.95E-4, 1.17E-4, 6.22E-5])
(109, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.83E-3, 5.20E-3, 3.15E-3, 1.94E-3, 1.22E-3, 7.66E-4, 4.83E-4, 3.01E-4, 1.80E-4, 9.68E-5, 3.56E-5])
(113, 2, 1, 15, [1.48E-6, 0.06, 1.24E-6, 0.02, 1.56E-6, 5.21E-3, 2.25E-6, 1.95E-3, 3.51E-6, 7.77E-4, 5.75E-6, 3.18E-4, 9.74E-6, 1.27E-4, 1.69E-5])
(127, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.15E-3, 1.95E-3, 1.22E-3, 7.77E-4, 4.96E-4, 3.18E-4, 2.02E-4, 1.26E-4, 7.43E-5])
(131, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.15E-3, 1.95E-3, 1.22E-3, 7.77E-4, 4.97E-4, 3.18E-4, 2.03E-4, 1.27E-4, 7.58E-5])
(137, 2, 1, 15, [8.31E-7, 0.06, 6.93E-7, 0.02, 8.73E-7, 5.21E-3, 1.26E-6, 1.95E-3, 1.97E-6, 7.79E-4, 3.22E-6, 3.21E-4, 5.45E-6, 1.32E-4, 9.46E-6])
(139, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.15E-3, 1.95E-3, 1.22E-3, 7.78E-4, 4.98E-4, 3.20E-4, 2.05E-4, 1.29E-4, 7.85E-5])
(149, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.15E-3, 1.95E-3, 1.22E-3, 7.75E-4, 4.95E-4, 3.16E-4, 2.00E-4, 1.23E-4, 7.00E-5])
(151, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.78E-4, 4.99E-4, 3.21E-4, 2.06E-4, 1.31E-4, 8.15E-5])
(157, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.15E-3, 1.95E-3, 1.22E-3, 7.76E-4, 4.96E-4, 3.17E-4, 2.02E-4, 1.25E-4, 7.32E-5])
(163, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.79E-4, 4.99E-4, 3.22E-4, 2.08E-4, 1.33E-4, 8.37E-5])
(167, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.79E-4, 5.00E-4, 3.22E-4, 2.08E-4, 1.34E-4, 8.43E-5])
(173, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.15E-3, 1.95E-3, 1.22E-3, 7.78E-4, 4.97E-4, 3.19E-4, 2.04E-4, 1.29E-4, 7.80E-5])
(179, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.80E-4, 5.00E-4, 3.23E-4, 2.09E-4, 1.35E-4, 8.57E-5])
(181, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.78E-4, 4.98E-4, 3.20E-4, 2.05E-4, 1.30E-4, 7.98E-5])
(191, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.80E-4, 5.00E-4, 3.23E-4, 2.09E-4, 1.36E-4, 8.68E-5])
(193, 2, 1, 15, [8.90E-7, 0.06, 7.42E-7, 0.02, 9.34E-7, 5.21E-3, 1.35E-6, 1.95E-3, 2.11E-6, 7.79E-4, 3.45E-6, 3.21E-4, 5.84E-6, 1.32E-4, 1.01E-5])
(197, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.79E-4, 4.99E-4, 3.21E-4, 2.07E-4, 1.32E-4, 8.26E-5])
(199, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.80E-4, 5.01E-4, 3.23E-4, 2.10E-4, 1.36E-4, 8.75E-5])
(211, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.80E-4, 5.01E-4, 3.24E-4, 2.10E-4, 1.37E-4, 8.82E-5])
(223, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.80E-4, 5.01E-4, 3.24E-4, 2.11E-4, 1.37E-4, 8.88E-5])
(227, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.80E-4, 5.01E-4, 3.24E-4, 2.11E-4, 1.37E-4, 8.90E-5])
(229, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.80E-4, 5.00E-4, 3.23E-4, 2.09E-4, 1.35E-4, 8.60E-5])
(233, 2, 1, 15, [1.68E-7, 0.06, 1.40E-7, 0.02, 1.77E-7, 5.21E-3, 2.56E-7, 1.95E-3, 3.99E-7, 7.81E-4, 6.53E-7, 3.25E-4, 1.11E-6, 1.38E-4, 1.92E-6])
(239, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.81E-4, 5.01E-4, 3.24E-4, 2.11E-4, 1.37E-4, 8.94E-5])
(241, 2, 1, 15, [0.35, 0.19, 0.12, 0.08, 0.05, 0.04, 0.03, 0.02, 0.01, 8.59E-3, 6.02E-3, 4.23E-3, 2.97E-3, 2.09E-3, 1.47E-3])
(251, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.81E-4, 5.01E-4, 3.25E-4, 2.11E-4, 1.38E-4, 8.98E-5])
(257, 2, 1, 15, [1.25E-7, 0.06, 1.05E-7, 0.02, 1.32E-7, 5.21E-3, 1.90E-7, 1.95E-3, 2.97E-7, 7.81E-4, 4.87E-7, 3.25E-4, 8.23E-7, 1.38E-4, 1.43E-6])
(263, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.81E-4, 5.02E-4, 3.25E-4, 2.11E-4, 1.38E-4, 9.01E-5])
(269, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.80E-4, 5.01E-4, 3.24E-4, 2.10E-4, 1.37E-4, 8.83E-5])
(271, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.81E-4, 5.02E-4, 3.25E-4, 2.11E-4, 1.38E-4, 9.02E-5])
(277, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.80E-4, 5.01E-4, 3.24E-4, 2.10E-4, 1.37E-4, 8.87E-5])
(281, 2, 1, 15, [9.59E-8, 0.06, 8.00E-8, 0.02, 1.01E-7, 5.21E-3, 1.46E-7, 1.95E-3, 2.27E-7, 7.81E-4, 3.72E-7, 3.25E-4, 6.30E-7, 1.39E-4, 1.09E-6])
(283, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.81E-4, 5.02E-4, 3.25E-4, 2.12E-4, 1.38E-4, 9.05E-5])
(293, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.80E-4, 5.01E-4, 3.24E-4, 2.11E-4, 1.37E-4, 8.92E-5])
(307, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.81E-4, 5.02E-4, 3.25E-4, 2.12E-4, 1.39E-4, 9.08E-5])
(311, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.81E-4, 5.02E-4, 3.25E-4, 2.12E-4, 1.39E-4, 9.09E-5])
(313, 2, 1, 15, [2.08E-7, 0.06, 1.74E-7, 0.02, 2.19E-7, 5.21E-3, 3.16E-7, 1.95E-3, 4.93E-7, 7.81E-4, 8.07E-7, 3.24E-4, 1.37E-6, 1.38E-4, 2.37E-6])
(317, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.81E-4, 5.01E-4, 3.25E-4, 2.11E-4, 1.38E-4, 8.98E-5])
(331, 2, 1, 15, [0.18, 0.06, 0.03, 0.02, 8.84E-3, 5.21E-3, 3.16E-3, 1.95E-3, 1.23E-3, 7.81E-4, 5.02E-4, 3.25E-4, 2.12E-4, 1.39E-4, 9.11E-5])
