(607, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 3.33E-3, 1.34E-3, 4.81E-3, 7.93E-3, 0.01, 8.80E-3])
(613, 2, 1, 10, [0.01, 0.05, 8.67E-3, 6.13E-3, 0.01, 7.76E-3, 0.01, 5.90E-3, 4.84E-3, 2.45E-3])
(617, 2, 1, 10, [3.44E-3, 0.06, 2.87E-3, 0.01, 3.62E-3, 9.13E-4, 5.23E-3, 7.19E-3, 7.89E-4, 4.92E-3])
(619, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 3.43E-3, 1.21E-3, 4.66E-3, 7.58E-5, 3.77E-3, 2.25E-3])
(631, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 3.54E-3, 1.09E-3, 4.51E-3, 7.55E-3, 9.12E-4, 4.30E-3])
(641, 2, 1, 10, [3.31E-3, 0.06, 2.76E-3, 0.01, 3.48E-3, 1.07E-3, 5.03E-3, 7.43E-3, 7.85E-3, 4.53E-3])
(643, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 3.63E-3, 9.74E-4, 4.37E-3, 7.37E-3, 6.88E-4, 4.59E-3])
(647, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 3.67E-3, 9.35E-4, 4.32E-3, 8.31E-3, 9.21E-3, 1.55E-3])
(653, 2, 1, 10, [3.25E-3, 0.06, 2.71E-3, 0.01, 3.42E-3, 1.15E-3, 4.94E-3, 4.17E-3, 3.39E-4, 9.03E-3])
(659, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 3.76E-3, 8.23E-4, 4.18E-3, 8.48E-3, 9.42E-3, 4.95E-3])
(661, 2, 1, 10, [0.34, 0.18, 0.11, 0.07, 0.04, 0.02, 0.01, 5.68E-4, 5.65E-3, 4.86E-3])
(673, 2, 1, 10, [0.01, 0.06, 7.89E-3, 6.98E-3, 0.01, 3.81E-3, 1.75E-3, 2.44E-4, 7.69E-3, 0.01])
(677, 2, 1, 10, [3.14E-3, 0.06, 2.62E-3, 0.01, 3.29E-3, 1.29E-3, 4.76E-3, 0.02, 6.54E-5, 6.93E-4])
(683, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 3.94E-3, 6.11E-4, 3.93E-3, 6.83E-3, 0.01, 0.01])
(691, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 4.00E-3, 5.43E-4, 3.84E-3, 1.09E-3, 1.28E-4, 6.25E-4])
(701, 2, 1, 10, [3.03E-3, 0.06, 2.53E-3, 0.01, 3.18E-3, 1.43E-3, 4.60E-3, 7.97E-3, 7.18E-3, 1.02E-3])
(709, 2, 1, 10, [8.99E-3, 0.06, 0.05, 7.42E-3, 0.03, 4.41E-3, 5.30E-3, 0.02, 4.10E-3, 1.80E-3])
(719, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 4.19E-3, 3.19E-4, 3.57E-3, 9.24E-3, 0.01, 8.27E-5])
(727, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 4.24E-3, 2.58E-4, 3.50E-3, 6.30E-3, 4.24E-3, 6.46E-5])
(733, 2, 1, 10, [0.34, 0.18, 0.11, 0.07, 0.04, 0.03, 0.02, 0.02, 0.02, 0.02])
(739, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 4.31E-3, 1.69E-4, 3.39E-3, 6.16E-3, 8.98E-3, 2.85E-3])
(743, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 4.34E-3, 1.40E-4, 3.35E-3, 1.70E-3, 0.01, 6.60E-3])
(751, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 4.38E-3, 8.33E-5, 3.28E-3, 6.03E-3, 3.91E-3, 5.76E-3])
(757, 2, 1, 10, [8.42E-3, 0.06, 0.05, 7.94E-3, 8.84E-3, 5.13E-3, 1.50E-4, 2.17E-3, 2.92E-4, 1.17E-3])
(761, 2, 1, 10, [2.79E-3, 0.06, 2.33E-3, 0.01, 2.93E-3, 1.73E-3, 4.24E-3, 8.42E-3, 7.56E-4, 1.74E-3])
(769, 2, 1, 10, [0.35, 0.18, 0.11, 0.07, 0.04, 0.03, 0.02, 0.02, 0.02, 0.01])
(773, 2, 1, 10, [2.75E-3, 0.06, 2.29E-3, 0.01, 2.89E-3, 1.78E-3, 4.17E-3, 3.22E-3, 8.22E-3, 2.82E-3])
(787, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 4.59E-3, 1.59E-4, 2.99E-3, 5.67E-3, 1.46E-3, 1.07E-3])
(797, 2, 1, 10, [2.66E-3, 0.06, 2.22E-3, 0.01, 2.80E-3, 1.88E-3, 4.05E-3, 3.06E-3, 1.05E-3, 2.12E-3])
(809, 2, 1, 10, [2.63E-3, 0.06, 2.19E-3, 0.01, 2.76E-3, 1.93E-3, 3.98E-3, 2.99E-3, 1.15E-3, 2.24E-3])
(811, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 4.71E-3, 3.09E-4, 2.81E-3, 5.44E-3, 3.16E-3, 7.69E-3])
(821, 2, 1, 10, [2.59E-3, 0.06, 2.16E-3, 0.01, 2.72E-3, 1.98E-3, 3.93E-3, 2.92E-3, 6.13E-3, 2.33E-3])
(823, 2, 1, 10, [0.17, 0.06, 0.03, 0.01, 4.77E-3, 3.80E-4, 2.72E-3, 5.33E-3, 5.73E-4, 1.52E-3])
