(167, 2, 1, 15, [4.56E-4, 0.06, 3.80E-4, 0.02, 4.79E-4, 4.64E-3, 6.93E-4, 1.09E-3, 1.08E-3, 5.95E-4, 7.65E-4, 6.67E-4, 1.25E-3, 4.46E-4, 4.05E-4])
(173, 2, 1, 15, [0.00, 0.06, 0.00, 0.02, 0.00, 4.68E-3, 0.00, 1.15E-3, 0.00, 5.01E-4, 0.00, 2.09E-3, 0.00, 1.78E-4, 0.00])
(179, 2, 1, 15, [0.00, 0.06, 0.00, 0.02, 0.00, 4.71E-3, 0.00, 1.21E-3, 0.00, 4.17E-4, 0.00, 1.67E-3, 0.00, 2.73E-3, 0.00])
(181, 2, 1, 15, [0.00, 0.06, 0.00, 0.02, 0.00, 4.72E-3, 0.00, 1.22E-3, 0.00, 3.90E-4, 0.00, 9.76E-4, 0.00, 6.97E-4, 0.00])
(191, 2, 1, 15, [3.49E-4, 0.06, 2.91E-4, 0.02, 3.66E-4, 4.77E-3, 5.30E-4, 1.30E-3, 8.26E-4, 2.71E-4, 6.56E-4, 1.18E-3, 1.65E-4, 3.83E-3, 8.15E-5])
(193, 2, 1, 15, [3.42E-4, 0.06, 2.85E-4, 0.02, 3.59E-4, 4.78E-3, 5.19E-4, 1.31E-3, 8.09E-4, 2.49E-4, 6.84E-4, 1.21E-3, 2.01E-3, 5.74E-4, 2.05E-4])
(197, 2, 1, 15, [0.00, 0.06, 0.00, 0.02, 0.00, 4.80E-3, 0.00, 1.34E-3, 0.00, 2.08E-4, 0.00, 1.32E-3, 0.00, 2.69E-3, 0.00])
(199, 2, 1, 15, [3.21E-4, 0.06, 2.68E-4, 0.02, 3.37E-4, 4.81E-3, 4.88E-4, 1.35E-3, 1.69E-3, 1.88E-4, 7.62E-4, 1.29E-3, 1.26E-3, 9.57E-4, 1.45E-3])
(211, 2, 1, 15, [0.00, 0.06, 0.00, 0.02, 0.00, 4.85E-3, 0.00, 1.42E-3, 0.00, 8.09E-5, 0.00, 1.90E-4, 0.00, 1.02E-3, 0.00])
(223, 2, 1, 15, [2.56E-4, 0.06, 2.13E-4, 0.02, 2.69E-4, 4.89E-3, 5.92E-3, 1.47E-3, 4.30E-3, 9.43E-6, 1.02E-3, 9.61E-4, 1.98E-5, 1.23E-3, 7.02E-4])
(227, 2, 1, 15, [0.00, 0.06, 0.00, 0.02, 0.00, 4.90E-3, 0.00, 1.49E-3, 0.00, 3.64E-5, 0.00, 3.86E-4, 0.00, 1.36E-3, 0.00])
(229, 2, 1, 15, [0.00, 0.06, 0.00, 0.02, 0.00, 4.91E-3, 0.00, 1.50E-3, 0.00, 4.93E-5, 0.00, 8.95E-4, 0.00, 1.95E-3, 0.00])
(233, 2, 1, 15, [2.34E-4, 0.06, 1.95E-4, 0.02, 2.46E-4, 4.92E-3, 3.56E-4, 1.51E-3, 5.55E-4, 7.43E-5, 9.09E-4, 8.53E-4, 3.56E-3, 2.07E-4, 6.47E-4])
(239, 2, 1, 15, [2.23E-4, 0.06, 1.86E-4, 0.02, 2.34E-4, 4.93E-3, 3.38E-4, 1.53E-3, 5.28E-4, 1.09E-4, 8.64E-4, 5.07E-4, 6.13E-4, 1.57E-3, 2.44E-3])
(241, 2, 1, 15, [2.19E-4, 0.06, 1.83E-4, 0.02, 2.30E-4, 4.94E-3, 3.33E-4, 1.54E-3, 5.19E-4, 1.20E-4, 1.55E-4, 7.76E-4, 1.64E-4, 6.33E-4, 1.01E-3])
(251, 2, 1, 15, [0.00, 0.06, 0.00, 0.02, 0.00, 4.96E-3, 0.00, 1.57E-3, 0.00, 1.72E-4, 0.00, 6.12E-4, 0.00, 2.30E-3, 0.00])
(257, 2, 1, 15, [1.93E-4, 0.06, 1.61E-4, 0.02, 2.02E-4, 4.97E-3, 2.93E-4, 1.59E-3, 4.56E-4, 2.00E-4, 7.47E-4, 6.43E-4, 1.28E-3, 1.53E-4, 5.35E-4])
(263, 2, 1, 15, [1.84E-4, 0.06, 1.53E-4, 0.02, 1.93E-4, 4.98E-3, 2.79E-4, 1.61E-3, 4.36E-4, 2.26E-4, 1.30E-3, 6.00E-4, 9.17E-4, 1.45E-3, 8.53E-4])
(269, 2, 1, 15, [0.00, 0.06, 0.00, 0.02, 0.00, 4.99E-3, 0.00, 1.62E-3, 0.00, 2.51E-4, 0.00, 5.59E-4, 0.00, 1.38E-3, 0.00])
(271, 2, 1, 15, [1.73E-4, 0.06, 1.44E-4, 0.02, 1.82E-4, 4.99E-3, 2.63E-4, 1.63E-3, 4.10E-4, 2.59E-4, 3.32E-4, 5.46E-4, 5.62E-4, 7.96E-4, 9.74E-4])
(277, 2, 1, 15, [0.00, 0.06, 0.00, 0.02, 0.00, 5.00E-3, 0.00, 1.64E-3, 0.00, 2.81E-4, 0.00, 5.08E-4, 0.00, 1.74E-4, 0.00])
(281, 2, 1, 15, [1.61E-4, 0.06, 1.34E-4, 0.02, 1.69E-4, 5.01E-3, 2.45E-4, 1.65E-3, 3.82E-4, 2.95E-4, 5.40E-3, 4.85E-4, 1.49E-3, 4.24E-4, 3.76E-4])
(283, 2, 1, 15, [0.00, 0.06, 0.00, 0.02, 0.00, 5.01E-3, 0.00, 1.65E-3, 0.00, 3.02E-4, 0.00, 4.74E-4, 0.00, 6.72E-4, 0.00])
(293, 2, 1, 15, [0.00, 0.06, 0.00, 0.02, 0.00, 5.02E-3, 0.00, 1.67E-3, 0.00, 3.34E-4, 0.00, 4.20E-4, 0.00, 2.21E-3, 0.00])
(307, 2, 1, 15, [0.00, 0.06, 0.00, 0.02, 0.00, 5.04E-3, 0.00, 1.70E-3, 0.00, 3.74E-4, 0.00, 3.53E-4, 0.00, 9.15E-5, 0.00])
(311, 2, 1, 15, [1.32E-4, 0.06, 1.10E-4, 0.02, 1.38E-4, 5.04E-3, 2.00E-4, 1.71E-3, 3.12E-4, 3.84E-4, 5.10E-4, 3.36E-4, 1.39E-5, 9.95E-4, 3.92E-4])
(313, 2, 1, 15, [1.30E-4, 0.06, 1.08E-4, 0.02, 1.36E-4, 5.05E-3, 1.97E-4, 1.71E-3, 3.08E-4, 3.89E-4, 5.04E-4, 3.28E-4, 8.53E-4, 9.80E-4, 1.79E-4])
